,,,-0.04648,-17,,,,,-0.04648,-9.4
,,,-0.04644,-17.2,,,,,-0.04644,-9.4
,,,-0.0464,-17.2,,,,,-0.0464,-9.4
,,,-0.04636,-17.2,,,,,-0.04636,-9.6
,,,-0.04632,-17.4,,,,,-0.04632,-9.4
,,,-0.04628,-17.4,,,,,-0.04628,-9.4
,,,-0.04624,-17.4,,,,,-0.04624,-9.6
,,,-0.0462,-17.6,,,,,-0.0462,-9.4
,,,-0.04616,-17.6,,,,,-0.04616,-9.6
,,,-0.04612,-17.6,,,,,-0.04612,-9.6
,,,-0.04608,-17.6,,,,,-0.04608,-9.6
,,,-0.04604,-17.6,,,,,-0.04604,-9.4
,,,-0.046,-17.8,,,,,-0.046,-9.4
,,,-0.04596,-17.8,,,,,-0.04596,-9.6
,,,-0.04592,-17.8,,,,,-0.04592,-9.6
,,,-0.04588,-17.8,,,,,-0.04588,-9.6
,,,-0.04584,-17.8,,,,,-0.04584,-9.6
,,,-0.0458,-17.8,,,,,-0.0458,-9.6
,,,-0.04576,-18,,,,,-0.04576,-9.8
,,,-0.04572,-18,,,,,-0.04572,-9.8
,,,-0.04568,-18,,,,,-0.04568,-9.6
,,,-0.04564,-18,,,,,-0.04564,-9.6
,,,-0.0456,-18,,,,,-0.0456,-9.6
,,,-0.04556,-18,,,,,-0.04556,-9.8
,,,-0.04552,-18,,,,,-0.04552,-9.6
,,,-0.04548,-18,,,,,-0.04548,-9.6
,,,-0.04544,-18,,,,,-0.04544,-9.8
,,,-0.0454,-18,,,,,-0.0454,-9.6
,,,-0.04536,-18,,,,,-0.04536,-9.6
,,,-0.04532,-18,,,,,-0.04532,-9.6
,,,-0.04528,-18.2,,,,,-0.04528,-9.8
,,,-0.04524,-18,,,,,-0.04524,-9.8
,,,-0.0452,-18.2,,,,,-0.0452,-9.6
,,,-0.04516,-18.2,,,,,-0.04516,-9.8
,,,-0.04512,-18.2,,,,,-0.04512,-9.8
,,,-0.04508,-18.2,,,,,-0.04508,-9.8
,,,-0.04504,-18,,,,,-0.04504,-9.8
,,,-0.045,-18.2,,,,,-0.045,-9.8
,,,-0.04496,-18.2,,,,,-0.04496,-9.8
,,,-0.04492,-18.2,,,,,-0.04492,-9.8
,,,-0.04488,-18.2,,,,,-0.04488,-9.8
,,,-0.04484,-18.2,,,,,-0.04484,-9.6
,,,-0.0448,-18.2,,,,,-0.0448,-9.6
,,,-0.04476,-18.2,,,,,-0.04476,-9.6
,,,-0.04472,-18.2,,,,,-0.04472,-9.8
,,,-0.04468,-18.2,,,,,-0.04468,-9.8
,,,-0.04464,-18.2,,,,,-0.04464,-9.8
,,,-0.0446,-18.2,,,,,-0.0446,-9.6
,,,-0.04456,-18.2,,,,,-0.04456,-9.8
,,,-0.04452,-18.2,,,,,-0.04452,-9.6
,,,-0.04448,-18.2,,,,,-0.04448,-9.8
,,,-0.04444,-18.2,,,,,-0.04444,-9.8
,,,-0.0444,-18.2,,,,,-0.0444,-9.8
,,,-0.04436,-18.2,,,,,-0.04436,-9.8
,,,-0.04432,-18.2,,,,,-0.04432,-9.8
,,,-0.04428,-18.2,,,,,-0.04428,-9.6
,,,-0.04424,-18.2,,,,,-0.04424,-9.8
,,,-0.0442,-18.2,,,,,-0.0442,-9.8
,,,-0.04416,-18.2,,,,,-0.04416,-9.8
,,,-0.04412,-18.2,,,,,-0.04412,-9.8
,,,-0.04408,-18.2,,,,,-0.04408,-9.8
,,,-0.04404,-18.2,,,,,-0.04404,-9.8
,,,-0.044,-18.2,,,,,-0.044,-9.6
,,,-0.04396,-18,,,,,-0.04396,-9.8
